## Format is Type, X, Y, angle (note first line is skipped)
0 569 188 0
0 94 192 0
0 220 191 0
0 384 192 0
0 0 303 0
0 163 304 0
0 338 310 0
0 456 308 0
### Wave info format is count,delay(ms)
3 200
0 10000
5 200
0 10000
10 300
### Spawn pos
488 59
### Pathing nodes (x, y, angle)
0 121 0
-355 -116 0
-207 -110 0
-49 112 0
-17 189 0
79 252 0
232 257 0
405 264 0
560 269 0
568 352 0
-495 409 0
-377 416 0
-284 423 0
-147 428 0
-35 438 0
### Background
res/Backgrounds/Alien-Landings-Bg.png
